Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
Jake Patterson,laurabutler,1,Not verified,Not verified,"Lisamouth, California, Lebanon",5715.6,Standard
Steven Lopez DDS,emily09,3,Verified,Not verified,"South Sandraburgh, Michigan, Senegal",7229.43,Premium
Jason Patel,arthurford,1,Not verified,Not verified,"Kirstenstad, Alabama, Kenya",8852.59,Basic
Karl Rogers,roberthickman,4,Not verified,Not verified,"South Brooke, New Hampshire, Palestinian Territory",9754.93,Basic
Elizabeth Meyers,shermanwilliam,4,Not verified,Verified,"West Ashley, Mississippi, Dominican Republic",5723.04,Premium
Christopher Burke,allisonmoses,3,Not verified,Verified,"North Linda, Utah, Yemen",4818.61,Premium
Mr. Jose Young,maryhanson,2,Verified,Verified,"Smithburgh, Oregon, Turkmenistan",4769.52,Basic
Tara Johnson,fperez,0,Not verified,Not verified,"Jonathanburgh, Vermont, Niger",7555.5,Standard
Kelly Ingram,jcoleman,2,Verified,Not verified,"Stephanieville, North Carolina, Belgium",9007.91,Basic
Tina Jones,travis03,4,Verified,Not verified,"Port Amyfurt, West Virginia, Tanzania",484.02,Advanced
Dr. Emma Martinez DVM,qcollins,4,Verified,Not verified,"Port Johnhaven, Nebraska, Estonia",1160.47,Basic
Jennifer Kirk,bryanarnold,3,Not verified,Verified,"Jamesfort, North Carolina, Egypt",2960.92,Premium
Monique West,jacobsalexis,5,Verified,Verified,"East Richard, New York, British Virgin Islands",8073.99,Standard
Stephen Thompson,larrykelly,2,Not verified,Verified,"New Robertbury, Illinois, Heard Island and McDonald Islands",4866.37,Basic
Aaron Hansen,barrcarla,1,Not verified,Not verified,"Johnsonbury, Tennessee, British Indian Ocean Territory (Chagos Archipelago)",1582.94,Advanced
Tammy Phillips,cparsons,1,Verified,Verified,"Laurenmouth, Montana, Djibouti",4904.17,Basic
Brenda Obrien,kathy71,4,Not verified,Not verified,"Tammyberg, Iowa, Anguilla",9755.22,Basic
Lauren Foster,jerrymorris,2,Not verified,Not verified,"Cherylside, Idaho, Botswana",7837.96,Basic
Danny Ball,carlosadkins,3,Not verified,Verified,"North Dianeshire, Arkansas, Guinea",4073.97,Advanced
Crystal Flowers,lopezlisa,3,Not verified,Not verified,"Port Ginamouth, Ohio, Slovakia (Slovak Republic)",5621.21,Basic
Gerald Mcknight,pherring,4,Not verified,Not verified,"North Bradleyburgh, Delaware, Zimbabwe",8187.26,Basic
Mark Reed,terrellmelanie,2,Not verified,Not verified,"New Christopherberg, Rhode Island, Maldives",6726.02,Standard
John Daniels,dixonvictoria,2,Verified,Not verified,"East Michael, Arizona, Bolivia",9578.77,Basic
Dr. Shawn Brennan,spearsamy,1,Not verified,Not verified,"South Andreamouth, Oregon, Australia",6399.23,Standard
Mark Reynolds,toddlance,3,Not verified,Not verified,"Charlesmouth, Indiana, Lithuania",5961.65,Basic
Sherri Good,andrewmartin,4,Not verified,Not verified,"North Annettemouth, Colorado, Uzbekistan",1044.26,Premium
Christopher Murray,camerontimothy,2,Verified,Not verified,"North Jessicastad, Colorado, Austria",2149.7,Standard
Duane Miller,megan99,5,Verified,Not verified,"Samanthahaven, Virginia, Denmark",4840.22,Advanced
Amy Floyd,jonathan06,3,Verified,Verified,"Evansport, Ohio, Svalbard & Jan Mayen Islands",8624.67,Advanced
Jade Garcia,garzabradley,1,Verified,Verified,"North Abigail, Michigan, Dominica",1304.11,Standard
Laura Johnson,allen39,0,Verified,Verified,"New Anthonyfort, New York, Sao Tome and Principe",7199,Basic
Michelle Logan,andersonrachel,2,Verified,Verified,"New Michele, Hawaii, Bermuda",9241.63,Basic
Matthew Phillips,qramos,4,Verified,Not verified,"West Stevenburgh, Illinois, Barbados",9764.25,Basic
Anthony Calderon,wsandoval,2,Verified,Not verified,"Andrewsmouth, Nebraska, Guernsey",7057.99,Basic
Erika Joseph,mitchelleric,0,Verified,Verified,"West Marcia, Mississippi, Uruguay",371.21,Basic
Jennifer Bush,rachelmcconnell,4,Verified,Not verified,"Port Darren, South Dakota, Czech Republic",1340.4,Standard
Shannon Garrett,maria46,3,Not verified,Verified,"South Nicole, North Dakota, Saint Lucia",3474.68,Basic
Susan Holmes,achen,3,Verified,Not verified,"Lake Ericamouth, South Dakota, Antarctica (the territory South of 60 deg S)",1335.07,Basic
John Morales,stefaniesanders,3,Not verified,Verified,"East Jaybury, Nebraska, Greenland",391.67,Advanced
Anne Davis,caldwellcourtney,2,Not verified,Verified,"Hornshire, Florida, Hong Kong",9787.59,Advanced
Melissa Hill,gonzaleztim,4,Verified,Not verified,"West Emilystad, Idaho, Mauritania",4950.9,Advanced
Scott Bennett,gary93,1,Verified,Verified,"East Robertbury, Georgia, Egypt",4991.13,Standard
Kim Richard,melaniereyes,4,Not verified,Verified,"Port Josephmouth, North Dakota, Guatemala",4493.77,Premium
Theresa Massey,johnfloyd,1,Verified,Verified,"North Josephstad, New Jersey, Swaziland",8286.13,Standard
Jerry Austin,benjaminsandra,1,Not verified,Verified,"East Dianaville, Arkansas, Chile",7701.17,Standard
Jessica Molina,simsjohn,3,Not verified,Verified,"Kennedyton, Minnesota, Palestinian Territory",6436.24,Standard
Theresa Duran,jennifer90,5,Not verified,Not verified,"New Gabriella, Florida, Sudan",2324.64,Basic
Justin Smith,john29,0,Verified,Not verified,"West Sabrinaville, New Jersey, Bahamas",4068.11,Premium
Martha Burns,daniel43,5,Not verified,Verified,"Lewistown, Nevada, Uruguay",1851.98,Basic
Amanda Daniel,charlesserrano,4,Not verified,Not verified,"Whitetown, Utah, Trinidad and Tobago",9965.19,Standard
Lawrence Hale,gcox,3,Not verified,Not verified,"Joshuaton, South Dakota, China",8518.25,Basic
Scott Leonard,william58,2,Not verified,Verified,"West Brianmouth, Kentucky, Indonesia",1728.36,Basic
Gregory Ward,xthompson,4,Verified,Not verified,"Johnbury, Kentucky, Brunei Darussalam",9600.55,Advanced
Sara Bell,haydenjodi,4,Not verified,Not verified,"North Williamview, Texas, Congo",3908.54,Basic
Jenny Carter,jamesflores,3,Not verified,Verified,"South Rachelstad, North Dakota, Sri Lanka",1187.84,Basic
Eric Summers,johnsonpatrick,1,Not verified,Verified,"North Philip, Connecticut, Norway",7432.97,Basic
Destiny Arellano,adam44,3,Not verified,Verified,"Port Heather, Kentucky, Mauritius",9766.48,Premium
Aaron Johnson,michael21,3,Not verified,Not verified,"South Rachelbury, West Virginia, Costa Rica",8994.34,Basic
David Baldwin,yjohnson,5,Not verified,Not verified,"Seanmouth, Pennsylvania, Lebanon",3089.75,Basic
Raymond Adams,brian48,5,Not verified,Verified,"Brownside, Arizona, San Marino",9662.07,Premium
Emily Orozco,jennifer88,3,Not verified,Not verified,"Port Jennifer, Massachusetts, Cocos (Keeling) Islands",9293.29,Premium
Jamie Nelson,mlee,4,Not verified,Verified,"South Amandafurt, New Jersey, French Southern Territories",6938.18,Basic
Debra Dorsey,uflores,3,Verified,Not verified,"Lake Samuelmouth, Oklahoma, Fiji",8145.63,Premium
Alyssa Bruce,flemingrachel,0,Not verified,Verified,"Theresaside, New Hampshire, Germany",3664.56,Advanced
Kimberly Hinton,farrellpaul,5,Not verified,Verified,"Rodriguezville, Mississippi, Macao",2067.4,Basic
Ethan Rosales,gravesjennifer,0,Verified,Verified,"East Christineborough, Maryland, Palau",1843.2,Standard
Mrs. Diana Solis,jamesmartinez,0,Not verified,Verified,"New Cynthiaberg, Connecticut, Tokelau",9775.17,Premium
Jon Norris,andrew08,1,Not verified,Verified,"Sarastad, Nebraska, Senegal",3072.34,Premium
Elizabeth Howell,james93,1,Not verified,Verified,"Simmonsview, Iowa, Malawi",8327.82,Basic
Edwin Ramirez,cathy02,4,Not verified,Not verified,"East Kevinside, Rhode Island, Bulgaria",2031.9,Basic
Rachel Dickerson,halldaniel,4,Verified,Verified,"Port Jasonberg, Kentucky, Trinidad and Tobago",7405.3,Premium
Toni Duran,awright,5,Not verified,Not verified,"Lesliefort, Wyoming, Colombia",4198.02,Basic
Wendy Adams,ronaldbutler,5,Not verified,Not verified,"East Kimberlymouth, California, Timor-Leste",7726.85,Basic
Julie Ritter,jenniferramirez,1,Not verified,Verified,"Dennisstad, Indiana, Mauritania",2892.61,Basic
Kenneth Hale,james58,1,Not verified,Not verified,"East Haydenfort, Utah, Lebanon",3333.68,Advanced
Caroline Gonzalez,dwolf,3,Not verified,Not verified,"West Ricky, Michigan, Zambia",8746.88,Standard
Shaun Giles,smitherica,4,Verified,Verified,"North Tammyburgh, Iowa, Heard Island and McDonald Islands",3142.62,Basic
David Mora,kwilson,1,Verified,Not verified,"Smithberg, Hawaii, Panama",6025.55,Standard
Kathryn Young,toddanita,5,Verified,Verified,"Lake Virginiafort, Alaska, Kuwait",6765.22,Basic
Zachary Carpenter,olivia80,1,Not verified,Not verified,"East Eric, Ohio, Brunei Darussalam",8698.11,Advanced
Kelly Randall,jasonsanchez,5,Verified,Not verified,"Alexanderton, Georgia, Estonia",9556.19,Premium
Robert Harris,tammyferguson,2,Verified,Verified,"Jeremyside, North Carolina, Paraguay",3311.28,Premium
Amy Torres,kelleybrenda,3,Verified,Verified,"Bradleyberg, North Carolina, Pitcairn Islands",2314.73,Basic
Kimberly Davis,uholmes,3,Verified,Verified,"North Joseph, Nevada, Nauru",3201.37,Advanced
Allison Morton,kwatts,1,Verified,Verified,"Carolburgh, Kentucky, French Guiana",7113.02,Standard
Benjamin Bowman,cindy02,1,Not verified,Not verified,"South Jeffreyport, Tennessee, India",6394,Standard
Carolyn Miranda,mcclurecatherine,4,Verified,Not verified,"South Deborahview, Maine, Slovakia (Slovak Republic)",5702.62,Premium
Melanie Boone,fdavis,3,Not verified,Verified,"Gregoryton, Vermont, Bahrain",209.9,Basic
Michael Schmidt,kwarner,0,Verified,Not verified,"East Matthewstad, Delaware, Mayotte",6635.02,Premium
Danielle Thompson,maldonadomonica,0,Not verified,Verified,"Bowmanfurt, New Mexico, Comoros",3173.72,Standard
Sarah Johnson,charles97,4,Verified,Not verified,"Judyfort, Delaware, Guinea",4157.07,Basic
Jason Mcbride,johnsonkatherine,5,Verified,Verified,"Derekview, Montana, Uganda",600.59,Advanced
Amy Garcia,tdominguez,1,Not verified,Not verified,"Benjaminmouth, Minnesota, France",2143.29,Basic
David James,jonathanchurch,4,Not verified,Not verified,"New Katrina, Illinois, Albania",919.71,Standard
Laura Stevens,powellrebecca,1,Not verified,Verified,"North Taylorland, Texas, Serbia",1578.12,Premium
Christopher Marsh,carlsonlisa,3,Verified,Verified,"Port Brittanyside, Idaho, Western Sahara",2557.36,Basic
Mary Chapman,christygibson,5,Not verified,Verified,"Lake Kara, Kansas, New Caledonia",9288.85,Advanced
Beth Freeman,bhayes,4,Not verified,Verified,"Danielsberg, Hawaii, Serbia",761.66,Basic
Zachary Davis,hward,0,Verified,Verified,"Port Anthonyport, Alaska, Guernsey",5309.92,Premium
Martha Parker,theresa06,4,Verified,Verified,"Patriciaport, Pennsylvania, Seychelles",9979.85,Premium
Randy Ellis,colin85,5,Verified,Not verified,"New Tiffany, Michigan, French Polynesia",6572.83,Standard
Sara Roberts,iwillis,5,Not verified,Verified,"Ellenhaven, Nebraska, Saint Lucia",8507.8,Premium
Jose Jones,wochoa,5,Not verified,Not verified,"Gonzalezfurt, South Carolina, Saint Vincent and the Grenadines",8894.15,Basic
Michael Flores,gspence,1,Not verified,Not verified,"New Kara, Minnesota, Samoa",9860.39,Premium
Monica Brown,abigailjenkins,4,Not verified,Not verified,"Lake Ashleyborough, Virginia, Puerto Rico",2841.26,Standard
Erin Long,emma28,0,Verified,Not verified,"Larryview, Alabama, Chile",1413.84,Basic
Kelly Williams,hmills,4,Verified,Not verified,"Ashleybury, Maryland, United Kingdom",6580.24,Standard
Melissa Ford,stevenpatterson,3,Verified,Not verified,"Nathantown, Massachusetts, Reunion",3524.39,Standard
Stephen Wilkinson,timothy94,0,Verified,Verified,"West Thomasmouth, Maine, Guatemala",9355.72,Standard
Jesse Lopez,justin22,1,Verified,Not verified,"Dianestad, Mississippi, Ireland",8435.58,Advanced
James Wheeler,cpatton,1,Verified,Not verified,"Kaylaberg, West Virginia, Somalia",1212.52,Advanced
Anthony Leonard,mariomack,2,Verified,Verified,"Martinezland, Ohio, Korea",3171.2,Advanced
Peggy Sparks,thall,1,Not verified,Verified,"Lake Elizabethmouth, Hawaii, United Kingdom",4454.15,Basic
Jeff Scott,mullencheryl,3,Not verified,Verified,"New Gina, New Jersey, Bangladesh",1337.95,Advanced
Victor Reynolds,theresasmith,1,Not verified,Not verified,"Dillonchester, Pennsylvania, Brazil",4909.79,Standard
Mr. Kurt Freeman,burnettpaul,5,Not verified,Verified,"North Leonardburgh, Colorado, Lao People's Democratic Republic",1042.81,Advanced
Ricardo Robinson,sergio73,1,Not verified,Not verified,"East Elizabethmouth, Iowa, Samoa",1858.04,Premium
Terri Rangel,kathleenwright,0,Verified,Not verified,"New Stevebury, Alabama, Tuvalu",702.61,Advanced
Steven Franklin,osbornenatalie,4,Not verified,Verified,"Port Danielleside, Maine, Jamaica",4828.58,Advanced
Sheila Davis,ramirezbrittany,4,Not verified,Verified,"South Brian, Delaware, Ireland",7065.56,Standard
Jill Tran,raymond61,0,Verified,Not verified,"New Waynefurt, South Carolina, Liechtenstein",1105.64,Basic
Kimberly Lee,samanthalee,5,Not verified,Not verified,"South Mitchell, Delaware, Costa Rica",686.27,Basic
Amy Hale,david46,4,Verified,Verified,"Robertside, North Dakota, Ghana",4505.52,Standard
David Chambers,wlawrence,1,Not verified,Verified,"Michaelburgh, Wisconsin, Mali",2568.8,Basic
Amber Johnson,imccormick,2,Verified,Not verified,"East Amandastad, Idaho, Macao",8457.25,Basic
Matthew Weiss,mary02,1,Verified,Not verified,"Jimeneztown, Mississippi, Tuvalu",7808.59,Basic
Patrick Sutton,candice51,4,Verified,Verified,"West Terri, Indiana, Antigua and Barbuda",8862.33,Premium
Dominique Flores,alyssa08,5,Not verified,Not verified,"Smithshire, Kansas, Cocos (Keeling) Islands",5133.3,Premium
Molly Mcgrath,conniepatel,2,Not verified,Verified,"Alexandrastad, Tennessee, Armenia",4960.3,Basic
Andrew Alvarado,sabrinagibson,4,Not verified,Not verified,"Lake Jasmine, Indiana, Taiwan",5526.57,Basic
Brandon Miller,fglass,1,Not verified,Verified,"Palmerview, South Carolina, Hong Kong",7873.67,Premium
Phyllis Kirby,kennethsexton,2,Verified,Not verified,"East Christopher, Wyoming, Ethiopia",5441.82,Advanced
Barbara Johnson,ellisjustin,4,Verified,Verified,"New Samantha, Rhode Island, Gabon",8672.9,Advanced
Christian Brock,cherryemily,3,Verified,Not verified,"Evansside, Illinois, Ukraine",5978.07,Basic
Jeffrey Bradshaw,nicholas38,2,Verified,Verified,"Prestonton, West Virginia, Angola",6945.95,Standard
Diamond Lamb,russell07,4,Not verified,Not verified,"Barnesborough, Maine, Tanzania",2490.04,Advanced
Bonnie Soto,lawsonalyssa,4,Verified,Not verified,"Kimberlystad, Vermont, Cayman Islands",9672.44,Advanced
Charles Finley,tinabenjamin,5,Verified,Not verified,"Lake Stephanieside, Florida, Solomon Islands",7611.51,Standard
Perry Parker,chess,1,Not verified,Verified,"Oconnorbury, Michigan, Solomon Islands",6678.3,Premium
James Allen,alexander90,3,Not verified,Verified,"Victoriaberg, Oregon, Guyana",8049.77,Basic
Matthew Hudson,mnorris,5,Not verified,Not verified,"Morrishaven, Alabama, Montserrat",6714.59,Basic
Amanda Weber,kendramedina,0,Verified,Not verified,"East Charlesside, Idaho, Iran",794.03,Standard
Peter Miller,huffmancarla,3,Not verified,Verified,"Patriciaborough, Minnesota, Georgia",1729.14,Advanced
Victoria Swanson,katherine49,2,Not verified,Verified,"Herreraberg, Virginia, Sao Tome and Principe",7022.2,Basic
Olivia Jackson,michellemurphy,2,Not verified,Verified,"Erinfort, California, Ghana",2972.66,Advanced
Stephen Morris,ibuchanan,4,Not verified,Not verified,"East Daniel, South Dakota, Cape Verde",2359.7,Standard
Michael Hernandez,betty94,5,Verified,Not verified,"North Sara, Missouri, Djibouti",1496.09,Premium
Raymond Dickerson,johnsonpaul,1,Not verified,Verified,"Paulmouth, Rhode Island, Singapore",2645.53,Basic
Gail Tucker,kimberly40,5,Verified,Not verified,"South Dana, Michigan, Saint Pierre and Miquelon",9542.38,Advanced
Joel Moyer,riosjames,4,Not verified,Not verified,"West Robert, Massachusetts, Guadeloupe",6594.18,Premium
Matthew French,jaredsteele,4,Not verified,Verified,"Whiteview, Kentucky, Libyan Arab Jamahiriya",5250.02,Premium
Eric Fuentes,trogers,5,Not verified,Not verified,"East Crystal, Nebraska, Antigua and Barbuda",9212.72,Advanced
Christopher Sullivan,terriyoung,5,Not verified,Verified,"South Scott, Rhode Island, British Virgin Islands",8416.66,Advanced
Amber Montoya,xwilson,4,Not verified,Not verified,"East Glorialand, Nevada, Poland",6871.15,Basic
Tracey Garcia,mark17,1,Not verified,Not verified,"West Heather, Mississippi, Cape Verde",6713.48,Basic
Mr. George Parker DVM,wewing,5,Not verified,Verified,"Port Stacymouth, Wisconsin, Tunisia",6872.95,Premium
Clarence Mcdaniel,harrisonanita,3,Not verified,Not verified,"Cherylchester, Georgia, Lesotho",6280.24,Premium
Kyle Weaver,mosssusan,1,Not verified,Verified,"New Emily, Missouri, Togo",4028.71,Advanced
Bryan Colon,robertklein,1,Verified,Not verified,"Melindamouth, Texas, Burkina Faso",6972.67,Advanced
Angela Tucker,ashleyfarmer,2,Not verified,Verified,"South Brady, West Virginia, Kyrgyz Republic",8052.53,Advanced
Kayla Nguyen,jeffrey79,2,Verified,Not verified,"East Paul, Minnesota, Cayman Islands",3771.07,Premium
Amy Scott,griffinisaiah,3,Not verified,Not verified,"South Rebeccaton, South Dakota, Yemen",605.03,Standard
Melinda Sweeney,ehall,2,Verified,Verified,"Sierrastad, New York, Saint Pierre and Miquelon",6676.49,Standard
Lori Harris,karen46,2,Verified,Verified,"Lake Karenbury, New Jersey, Eritrea",5661.19,Premium
Ronald Pacheco,angelaanderson,0,Not verified,Verified,"South Jennifer, Kansas, France",4961.13,Basic
Stephen Brown,kevin49,4,Verified,Verified,"Sarahside, Michigan, Montserrat",1297.9,Premium
Christie Perez,moralespatrick,1,Not verified,Not verified,"Port Cynthia, California, South Georgia and the South Sandwich Islands",2771.64,Advanced
Michael Berry,edwarddominguez,3,Not verified,Verified,"Port Allison, Iowa, United Arab Emirates",4538.44,Advanced
Wayne Riddle,cynthiaharris,2,Not verified,Verified,"East Peterton, Missouri, Burundi",5272.69,Advanced
Jill Fernandez,youngtammy,5,Verified,Not verified,"Robinsonland, Washington, Germany",1482.13,Standard
Derrick Solis,mgraham,1,Not verified,Verified,"Anthonychester, Vermont, Latvia",2318.44,Advanced
Andrew Johnson,priceerica,5,Verified,Not verified,"Port William, West Virginia, Macao",2710.63,Premium
Yolanda Kelley,josephsmith,2,Not verified,Not verified,"Pottston, Maryland, Belize",4948.91,Standard
John Holden,william52,1,Not verified,Verified,"New Meganhaven, California, Guam",7495.68,Premium
Amanda Pacheco,benjaminvelazquez,2,Not verified,Not verified,"Hodgeberg, Alabama, Georgia",8384.58,Premium
Linda King,cunninghammichael,3,Verified,Not verified,"Port Robert, Arkansas, New Zealand",7703.56,Premium
Wesley Peterson,ashleycollins,2,Verified,Verified,"Reidbury, Illinois, Gambia",9829.05,Advanced
Kristopher Roy,lisawilliams,3,Verified,Not verified,"Deannahaven, Oklahoma, Malaysia",7800.05,Basic
David Atkinson,levi36,0,Not verified,Not verified,"Christineport, New York, Guadeloupe",7688.72,Advanced
Luke Hutchinson,wevans,0,Not verified,Not verified,"West Hollystad, Michigan, Congo",2451.77,Standard
Stacy Barnes,jcantu,3,Not verified,Not verified,"Kennethfort, Alabama, Bermuda",7933.09,Standard
Jacqueline Johnston,chaneybrianna,1,Verified,Not verified,"Rogersborough, North Dakota, Costa Rica",3523.68,Basic
Kimberly Cordova,dannymccoy,5,Verified,Not verified,"Jeremiahchester, Florida, Angola",6889.75,Basic
Samuel Gonzales,klewis,4,Verified,Verified,"Reeseton, Wyoming, Sweden",9058.51,Basic
Louis Hernandez,keithpalmer,4,Not verified,Verified,"Smithmouth, Nevada, Romania",6662.1,Advanced
Corey Odonnell,bullockhoward,5,Not verified,Not verified,"Davidville, Mississippi, Liberia",2692.64,Basic
Brandi Gonzalez,eric43,0,Verified,Not verified,"Cheyenneborough, Montana, Nigeria",6162.8,Basic
Amanda Jackson,smithbrian,3,Verified,Not verified,"Whiteberg, South Dakota, Vietnam",4193.08,Advanced
Toni Turner,estradakiara,2,Not verified,Not verified,"Burgesstown, New Hampshire, Guinea",704.31,Premium
Kelsey Vaughan,vwilliamson,3,Verified,Verified,"Wrightberg, Iowa, Angola",4546.8,Premium
William Barr,deannaobrien,4,Verified,Verified,"Bentonstad, Vermont, Vietnam",3283.54,Premium
Michael Bowers,ichapman,3,Verified,Not verified,"Deanton, Michigan, Uganda",1555.19,Premium
Stephanie Medina,maria60,2,Not verified,Verified,"New Glenn, California, Sweden",4265.26,Basic
Carrie Hanson,andersonmichael,2,Not verified,Not verified,"East Davidtown, West Virginia, Egypt",8467.57,Advanced
Theresa Smith,sarah28,3,Verified,Not verified,"East Michaela, Mississippi, Chad",8393.36,Advanced
Jim Mora,ljones,2,Not verified,Not verified,"Salazartown, Iowa, Argentina",7400.09,Basic
Jennifer Garcia,maldonadopatricia,5,Verified,Verified,"Lake Chelsea, Wyoming, Chad",9606.8,Standard
David Murphy,rodriguezmichael,2,Not verified,Verified,"Joshualand, West Virginia, Hong Kong",2321.58,Advanced
Joann Mitchell,wellscharles,5,Verified,Verified,"Heatherville, Utah, Cuba",854.55,Basic
Daniel Trevino DVM,joannejones,3,Not verified,Verified,"Frenchberg, Michigan, Haiti",2341.74,Standard
Christopher Perry,mnash,1,Not verified,Verified,"Morrisfurt, South Dakota, Malawi",5176.74,Advanced
Ryan Marsh,flowersandrea,3,Verified,Verified,"Lake Lori, Florida, Saint Lucia",3483.65,Advanced
Shelia Wagner,angelaboone,1,Verified,Not verified,"North Jonshire, Ohio, Madagascar",6075.71,Premium
Troy Long,davidflores,1,Verified,Not verified,"Martinville, Kentucky, Maldives",5854.33,Standard
Erica Mcconnell,angelawilliams,3,Not verified,Not verified,"Cookfurt, Wisconsin, Antigua and Barbuda",7264.11,Standard
Eric Garrison,lewisbenjamin,4,Not verified,Verified,"North Kylebury, Ohio, United States Minor Outlying Islands",5627.22,Standard
Jasmine Thomas,edwardthompson,1,Not verified,Verified,"Port Richardland, North Carolina, Switzerland",188.16,Premium
Shelly Greene,kristy34,4,Verified,Not verified,"Laramouth, Montana, Holy See (Vatican City State)",8742.49,Basic
Ashley Johnston,markmartin,0,Verified,Verified,"Trevinofurt, Utah, Grenada",3091.92,Basic
Tammy Fisher,laura25,3,Verified,Not verified,"South Jared, Virginia, Western Sahara",8460.59,Advanced
Tony Watson,edwardmiller,5,Not verified,Verified,"East Lisa, Kansas, Libyan Arab Jamahiriya",5989.95,Basic
Monica Curtis,richardssusan,4,Verified,Verified,"North Loriton, Tennessee, French Guiana",6821.77,Standard
John Garcia,ythompson,0,Verified,Verified,"Watershaven, Louisiana, South Georgia and the South Sandwich Islands",3742.77,Advanced
Brittany Walters,ojensen,1,Not verified,Not verified,"New Logan, South Dakota, British Virgin Islands",8980.85,Advanced
Jacob Hanson,erica55,4,Verified,Not verified,"North Carlosborough, Nevada, Cuba",6670.49,Advanced
Elizabeth Morris,justin02,5,Verified,Verified,"Lamborough, Alaska, South Africa",3463.51,Advanced
Mike Taylor,jessica41,2,Verified,Not verified,"Port Donald, Maine, Guadeloupe",3784.96,Premium
Robert Smith,glenn22,3,Not verified,Not verified,"West Brandy, Florida, Central African Republic",344.72,Premium
James Klein,corey79,4,Verified,Not verified,"East Ethan, South Carolina, Marshall Islands",4033.12,Standard
Timothy Green,lambsamuel,4,Verified,Verified,"Port Hunter, Kansas, Turks and Caicos Islands",7155.14,Basic
April Delacruz,barbara47,3,Verified,Verified,"New Stevenmouth, Mississippi, Angola",2699.99,Standard
Matthew Dixon,ashleyhoward,1,Verified,Verified,"Mariahside, Tennessee, Uruguay",1093.42,Standard
Stephanie Crosby,drew00,2,Not verified,Verified,"Derekchester, Mississippi, Chile",6557.55,Standard
Aaron Johnston,melissahunter,3,Not verified,Not verified,"West Kimberlyland, Arizona, Egypt",9486.33,Premium
Michael Hahn,tamarashaw,1,Verified,Not verified,"Callahanhaven, Georgia, New Caledonia",4481.44,Premium
Kara Little,rachel10,0,Not verified,Not verified,"Jamesburgh, New York, Bouvet Island (Bouvetoya)",2919.75,Basic
Tyler Jenkins,theresa24,3,Not verified,Not verified,"Banksview, Maryland, Cayman Islands",1947.43,Basic
Richard Crawford,shermanrichard,2,Verified,Not verified,"West Shawn, Hawaii, Kyrgyz Republic",5356.29,Standard
Roger Lee,monroedanielle,4,Not verified,Verified,"Lake Bill, Iowa, Denmark",5200.94,Premium
Shaun Marquez,elizabethwang,4,Verified,Not verified,"Clintonchester, Vermont, Greenland",3212.94,Premium
Kevin Kelley,tprice,0,Verified,Not verified,"Royport, South Carolina, United Kingdom",1961.79,Premium
Sheila Garza,davisdawn,0,Verified,Not verified,"Whiteton, Indiana, Jordan",6602.18,Premium
Jaime Brown,jasonhensley,1,Verified,Not verified,"West Thomas, Virginia, Moldova",9378.58,Standard
Benjamin Richardson,brandi28,0,Not verified,Verified,"Lake Vanessaborough, Kansas, Uzbekistan",7178.71,Standard
Ian Thompson,murraykristina,4,Not verified,Not verified,"Teresafurt, Idaho, Uganda",5736.24,Basic
April Grimes,schultzdanielle,4,Verified,Not verified,"Port Nicholas, North Carolina, Nauru",3079.67,Basic
Michael Morris,jennifer07,3,Verified,Verified,"South Sheryl, Oklahoma, Uzbekistan",4686.45,Premium
Lisa Harris,frederickcarlson,0,Verified,Not verified,"Hermanchester, Oregon, Cote d'Ivoire",2184.25,Advanced
Patrick Mason,richardherrera,0,Verified,Verified,"Alexandratown, North Carolina, Saint Vincent and the Grenadines",5431.6,Basic
Patrick Benjamin,mayers,5,Verified,Verified,"Michaelland, New Jersey, Chile",6696.41,Standard
Katherine Lewis,kgay,2,Verified,Not verified,"Fosterfurt, Hawaii, Bulgaria",9734.42,Advanced
David Brown,gallagherdaniel,5,Verified,Not verified,"Dickersonport, Oregon, Israel",3591.18,Basic
Brandon Mcguire,larsonjennifer,4,Verified,Verified,"Hornmouth, Virginia, Somalia",3563.26,Standard
Dustin Scott,latoya78,3,Not verified,Not verified,"Sullivanport, Iowa, Slovenia",8748.53,Premium
Elizabeth Hill,jennifer49,4,Verified,Verified,"Lake Dale, West Virginia, Nepal",9221.86,Basic
Michael Adams,brenda10,2,Verified,Verified,"Morganchester, West Virginia, French Polynesia",1053.78,Standard
Jennifer Newman,andrewgoodwin,1,Not verified,Not verified,"North Sue, Mississippi, France",5351.71,Standard
Jennifer Soto,jeff43,2,Not verified,Not verified,"Mullinsshire, Alabama, Guinea",8851.91,Basic
Valerie Marquez,davidferguson,2,Not verified,Not verified,"North Jamesburgh, Pennsylvania, Libyan Arab Jamahiriya",3718.43,Advanced
Harry Bowman,erica16,1,Verified,Not verified,"Greenebury, Montana, Papua New Guinea",1742.11,Advanced
Julie Harper,christopher27,3,Verified,Not verified,"South Paul, Ohio, Timor-Leste",7872.3,Standard
Lori Scott,sherylmcmahon,1,Verified,Not verified,"Lake Nicoleport, Kansas, Belize",558.45,Advanced
Donald Jones,zmartinez,5,Not verified,Verified,"East Kathrynview, Texas, Russian Federation",665.83,Premium
Donna Alvarez,richardnicholas,3,Verified,Not verified,"Kingfort, Michigan, Philippines",8014.17,Premium
Melissa Harrison,jonessamantha,2,Not verified,Not verified,"Davismouth, Arizona, French Guiana",7781.77,Premium
